0.090001,0.035000,0.000000 0.055003,0.035000,0.000000 0.090001,0.035000,0.035000 
0.055003,0.035000,0.000000 0.055003,0.035000,0.035000 0.090001,0.035000,0.035000 
0.090001,0.090001,0.035000 0.055001,0.090001,0.035000 0.055001,0.055001,0.035000 
0.055001,0.055001,0.035000 0.090000,0.055001,0.035000 0.090001,0.090001,0.035000 
0.055003,0.090000,0.035000 0.055003,0.090000,0.000000 0.055001,0.055002,0.035001 
0.055003,0.090000,0.000000 0.055000,0.055000,0.000000 0.055001,0.055002,0.035001 
0.090001,0.090000,0.000000 0.090001,0.090000,0.035000 0.090001,0.055000,0.000001 
0.090001,0.090000,0.035000 0.090000,0.055000,0.035001 0.090001,0.055000,0.000001 
0.055000,0.055000,0.000000 0.090001,0.055000,0.000001 0.055001,0.055002,0.035001 
0.090001,0.055000,0.000001 0.090000,0.055000,0.035001 0.055001,0.055002,0.035001 
0.090001,0.090000,0.000000 0.055003,0.090000,0.000000 0.090001,0.090000,0.035000 
0.055003,0.090000,0.000000 0.055003,0.090000,0.035000 0.090001,0.090000,0.035000 
0.035001,0.090001,0.035000 0.000001,0.090001,0.035000 0.000001,0.055001,0.035000 
0.000001,0.055001,0.035000 0.035000,0.055001,0.035000 0.035001,0.090001,0.035000 
0.000003,0.090000,0.035000 0.000003,0.090000,0.000000 0.000001,0.055002,0.035001 
0.000003,0.090000,0.000000 0.000000,0.055000,0.000000 0.000001,0.055002,0.035001 
0.035001,0.090000,0.000000 0.035001,0.090000,0.035000 0.035001,0.055000,0.000001 
0.035001,0.090000,0.035000 0.035000,0.055000,0.035001 0.035001,0.055000,0.000001 
0.000000,0.055000,0.000000 0.035001,0.055000,0.000001 0.000001,0.055002,0.035001 
0.035001,0.055000,0.000001 0.035000,0.055000,0.035001 0.000001,0.055002,0.035001 
0.035001,0.090000,0.000000 0.000003,0.090000,0.000000 0.035001,0.090000,0.035000 
0.000003,0.090000,0.000000 0.000003,0.090000,0.035000 0.035001,0.090000,0.035000 
-0.019999,0.090001,0.035000 -0.054999,0.090001,0.035000 -0.054999,0.055001,0.035000 
-0.054999,0.055001,0.035000 -0.020000,0.055001,0.035000 -0.019999,0.090001,0.035000 
-0.054997,0.090000,0.035000 -0.054997,0.090000,0.000000 -0.054999,0.055002,0.035001 
-0.054997,0.090000,0.000000 -0.055000,0.055000,0.000000 -0.054999,0.055002,0.035001 
-0.019999,0.090000,0.000000 -0.019999,0.090000,0.035000 -0.019999,0.055000,0.000001 
-0.019999,0.090000,0.035000 -0.020000,0.055000,0.035001 -0.019999,0.055000,0.000001 
-0.055000,0.055000,0.000000 -0.019999,0.055000,0.000001 -0.054999,0.055002,0.035001 
-0.019999,0.055000,0.000001 -0.020000,0.055000,0.035001 -0.054999,0.055002,0.035001 
-0.019999,0.090000,0.000000 -0.054997,0.090000,0.000000 -0.019999,0.090000,0.035000 
-0.054997,0.090000,0.000000 -0.054997,0.090000,0.035000 -0.019999,0.090000,0.035000 
